iter	RMSE
169	4.939566761
170	4.931729605
171	4.925905986
172	4.919672027
173	4.913365212
174	4.909764273
175	4.90322013
176	4.900540698
177	4.896419846
178	4.893766766
179	4.886632168
180	4.882251979
181	4.880126178
182	4.877230816
183	4.872212146
184	4.868186138
185	4.86292757
186	4.85949506
187	4.855617634
188	4.852841298
189	4.847812972
190	4.84143752
191	4.83997042
192	4.836511431
193	4.835010004
194	4.830804928
195	4.828709883
196	4.823478141
197	4.818347443
198	4.815169455
199	4.809560834
200	4.806028709
201	4.799840401
202	4.798162806
203	4.795148873
204	4.791256227
205	4.790468254
206	4.787351576
207	4.784048943
208	4.781123848
209	4.77839861
210	4.776235843
211	4.772347028
212	4.770142624
213	4.7664957
214	4.762706602
215	4.758503015
216	4.754974371
217	4.75308287
218	4.750294927
219	4.747630571
220	4.744689365
221	4.742917999
222	4.739010821
223	4.735413464
224	4.731843154
225	4.726701046
226	4.722764672
227	4.718394623
228	4.716121872
229	4.714481282
230	4.711421668
231	4.709631544
232	4.706060904
233	4.705395283
234	4.701312458
235	4.697787787
236	4.691404457
237	4.68886948
238	4.68510211
239	4.682715404
240	4.67904057
241	4.6751768
242	4.673080409
243	4.670482221
244	4.668542469
245	4.666493312
246	4.663312639
247	4.661781888
248	4.660978041
249	4.657939477
250	4.656210646
251	4.652881753
252	4.646364256
253	4.642519824
254	4.639495655
255	4.634701951
256	4.631181344
257	4.62835033
258	4.62382638
259	4.622867078
260	4.620780457
261	4.617868841
262	4.61375372
263	4.610881706
264	4.605655182
265	4.599688766
266	4.598035635
267	4.595084006
268	4.592191824
269	4.590496116
270	4.585320814
271	4.584498354
272	4.581746312
273	4.579309004
274	4.576677674
275	4.570779962
276	4.569052586
277	4.567424872
278	4.562047817
279	4.558956882
280	4.554018945
281	4.552824141
282	4.547777811
283	4.546966451
284	4.542174369
285	4.539646062
286	4.535859466
287	4.534183578
288	4.52937601
289	4.524953067
290	4.519998651
291	4.51528636
292	4.510746411
293	4.509273503
294	4.503522818
295	4.501169194
296	4.497128199
297	4.495612374
298	4.492208923
299	4.488656958
300	4.486047506
301	4.483928599
302	4.480798492
303	4.479235392
304	4.478459472
305	4.470223407
306	4.465346962
307	4.464637224
308	4.460510465
309	4.454138431
310	4.45136085
311	4.450172555
312	4.448037709
313	4.445828074
314	4.441271137
315	4.440673529
316	4.439673506
317	4.439211662
318	4.431199747
319	4.428864697
320	4.427566579
321	4.422871776
322	4.419443702
323	4.416467653
324	4.413494174
325	4.411504076
326	4.405317537
327	4.403442681
328	4.399670547
329	4.395824735
330	4.393381693
331	4.390289262
332	4.385021435
333	4.381393005
334	4.375924671
335	4.37516436
336	4.370336539
337	4.365416602
338	4.361345824
339	4.360702791
340	4.355028482
341	4.353489017
342	4.349807308
343	4.345845805
344	4.340423708
345	4.338735045
346	4.33770614
347	4.333308204
348	4.331581332
349	4.329908607
350	4.328064861
351	4.325065833
352	4.320878481
353	4.316611228
354	4.314221219
355	4.311976306
356	4.311284135
357	4.306801509
358	4.304290978
359	4.300376297
360	4.29742405
361	4.295377631
362	4.291608149
363	4.288806286
364	4.28681628
365	4.285161847
366	4.281924239
367	4.27735967
368	4.27247547
369	4.270639633
370	4.267299565
371	4.262718514
372	4.26221513
373	4.260608591
374	4.25671638
375	4.253414725
376	4.250950252
377	4.249116331
378	4.245228704
379	4.244609748
380	4.239964024
381	4.238475889
382	4.234958587
383	4.233288638
384	4.230794072
385	4.228464342
386	4.226923866
387	4.225466487
388	4.223975036
389	4.220614889
390	4.219519313
391	4.218786674
392	4.215054503
393	4.211119492
394	4.209515758
395	4.204929489
396	4.204216759
397	4.200216918
398	4.196757992
399	4.192528128
400	4.190304823
401	4.186541936
402	4.183387777
403	4.178043694
404	4.175509581
405	4.174973254
406	4.17070389
407	4.169302495
408	4.166264654
409	4.162774686
410	4.157509963
411	4.154438474
412	4.151099388
413	4.145504651
414	4.141076426
415	4.139525464
416	4.135932615
417	4.135401092
418	4.132816849
419	4.128171822
420	4.127270592
421	4.124952395
422	4.120157532
423	4.11573342
424	4.111462346
425	4.109119802
426	4.105746689
427	4.102811249
428	4.101490908
429	4.100198019
430	4.095850441
431	4.09461028
432	4.092022264
433	4.088667558
434	4.084504996
435	4.081250952
436	4.079792564
437	4.075565662
438	4.07459111
439	4.070475226
440	4.067636889
441	4.063653866
442	4.059568124
443	4.054996122
444	4.053666721
445	4.052237603
446	4.050953014
447	4.047169082
448	4.043944172
449	4.041388683
450	4.036475646
451	4.032827615
452	4.031779025
453	4.029209529
454	4.027473013
455	4.026862759
456	4.023750431
457	4.021240426
458	4.020691759
459	4.01667837
460	4.013378253
461	4.013025527
462	4.011679828
463	4.010302981
464	4.007462064
465	4.005566819
466	4.001954233
467	3.998856902
468	3.995279568
469	3.991567758
470	3.988586959
471	3.983775046
472	3.982750373
473	3.978793207
474	3.974683198
475	3.973806404
476	3.973170273
477	3.971553197
478	3.9678897
479	3.967270466
480	3.963762924
481	3.961630735
482	3.956962707
483	3.955524701
484	3.954132097
485	3.950480385
486	3.947701375
487	3.944064966
488	3.940569209
489	3.93687351
490	3.935717964
491	3.934591061
492	3.933827246
493	3.932093833
494	3.931569545
495	3.929678463
496	3.927492381
497	3.924696703
498	3.924229761
499	3.919771423
500	3.917188424
501	3.915983595
502	3.914842811
503	3.909820495
504	3.90793057
505	3.906564992
506	3.901825802
507	3.898207523
508	3.893775344
509	3.890581159
510	3.888065909
511	3.887593345
512	3.884595057
513	3.882581431
514	3.881348824
515	3.87750505
516	3.876388141
517	3.873431631
518	3.871407774
519	3.868494968
520	3.865463559
521	3.861142156
522	3.85818609
523	3.854058416
524	3.85106328
525	3.850537863
526	3.847705565
527	3.846606977
528	3.843517453
529	3.840183386
530	3.83804674
531	3.834270247
532	3.830341803
533	3.827789694
534	3.824821131
535	3.821683327
536	3.819068395
537	3.816076057
538	3.81364491
539	3.811736566
540	3.808992101
541	3.807213017
542	3.80535517
543	3.804037572
544	3.801733776
545	3.80130446
546	3.796965207
547	3.794065292
548	3.792559877
549	3.788811708
550	3.78563233
551	3.783227901
552	3.779869791
553	3.775838547
554	3.774538605
555	3.774065563
556	3.768542267
557	3.768079536
558	3.764617272
559	3.75979295
560	3.755885787
561	3.753889479
562	3.751838421
563	3.748468721
564	3.744751111
565	3.74203988
566	3.740034168
567	3.736297267
568	3.732819966
569	3.730964838
570	3.729036006
571	3.724590855
572	3.72306576
573	3.721545055
574	3.720398755
575	3.717120964
576	3.714260214
577	3.710084019
578	3.705403035
579	3.704994293
580	3.703788485
581	3.703218638
582	3.700900798
583	3.698367451
584	3.69718344
585	3.694903012
586	3.691075537
587	3.688382147
588	3.686565811
589	3.684495002
590	3.680860743
591	3.678637557
592	3.678266886
593	3.677900921
594	3.67698553
595	3.673866458
596	3.671004118
597	3.66956021
598	3.665662338
599	3.662142761
600	3.660934332
601	3.6581415
602	3.653575587
603	3.65283089
604	3.650196408
605	3.64788595
606	3.644346178
607	3.642825929
608	3.639344667
609	3.638365196
610	3.636552393
611	3.634204602
612	3.632765052
613	3.632134091
614	3.631600895
615	3.631268446
616	3.630093507
617	3.627365987
618	3.626010612
619	3.625486468
620	3.622184904
621	3.619139439
622	3.615614658
623	3.613760013
624	3.612736
625	3.611817894
626	3.610971037
627	3.608347006
628	3.60793444
629	3.607001497
630	3.605399292
631	3.602525621
632	3.598583548
633	3.596350407
634	3.594251857
635	3.592652808
636	3.590006199
637	3.587522286
638	3.585614726
639	3.584567866
640	3.581449079
641	3.580421888
642	3.579371529
643	3.578856763
644	3.576400954
645	3.575258075
646	3.57188047
647	3.571078365
648	3.567716337
649	3.566541443
650	3.565644533
651	3.562010695
652	3.558475628
653	3.556933801
654	3.553776214
655	3.552907664
656	3.550033162
657	3.547938843
658	3.547179434
659	3.546271224
660	3.545519928
661	3.544160853
662	3.543509486
663	3.540934662
664	3.538761759
665	3.534537688
666	3.53212487
667	3.528770826
668	3.525926407
669	3.523908592
670	3.523559795
671	3.521117021
672	3.519172987
673	3.518346187
674	3.515529046
675	3.513767827
676	3.509846669
677	3.509521688
678	3.508487203
679	3.508146679
680	3.505065914
681	3.503372098
682	3.502079217
683	3.499605916
684	3.49919978
685	3.496877235
686	3.495894412
687	3.494149353
688	3.492890043
689	3.492259692
690	3.488244952
691	3.487154909
692	3.484079319
693	3.480674114
694	3.478076592
695	3.476367107
696	3.475654831
697	3.474234689
698	3.471488594
699	3.470677959
700	3.465663671
701	3.461410521
702	3.460451653
703	3.460117801
704	3.458459136
705	3.458197982
706	3.455277897
707	3.452659888
708	3.450736041
709	3.448577406
710	3.446237168
711	3.445928081
712	3.444324811
713	3.44145241
714	3.440384463
715	3.437582606
716	3.436024784
717	3.434338184
718	3.431114385
719	3.430782655
720	3.428275178
721	3.427079714
722	3.423435966
723	3.420053985
724	3.418269832
725	3.417433425
726	3.416828549
727	3.416246088
728	3.413831478
729	3.413236877
730	3.412664644
731	3.410048612
732	3.409248552
733	3.407707581
734	3.407370704
735	3.405558867
736	3.40509113
737	3.402325535
738	3.40196351
739	3.40046193
740	3.398427355
741	3.395532584
742	3.392652773
743	3.392207494
744	3.39134825
745	3.390790223
746	3.388127475
747	3.387030263
748	3.384821854
749	3.384152504
750	3.381670505
751	3.380175995
752	3.377771366
753	3.375279069
754	3.373712931
755	3.373419098
756	3.371592756
757	3.369858796
758	3.36722864
759	3.364963273
760	3.363472896
761	3.36327531
762	3.361611178
763	3.360208105
764	3.35654171
765	3.356209244
766	3.354148516
767	3.351875989
768	3.350600342
769	3.350119737
770	3.347097089
771	3.343883737
772	3.341430661
773	3.339075349
774	3.338171697
775	3.33684685
776	3.334905762
777	3.332556439
778	3.332099905
779	3.331457924
780	3.329458895
781	3.327028734
782	3.323986273
783	3.321836309
784	3.319888151
785	3.316984652
786	3.316477712
787	3.313606306
788	3.313367811
789	3.311708404
790	3.309097042
791	3.306044226
792	3.304157322
793	3.301045503
794	3.298296768
795	3.296586914
796	3.294450144
797	3.293426913
798	3.291326865
799	3.289258451
800	3.288452482
801	3.287371251
802	3.286554986
803	3.286309257
804	3.284161137
805	3.283446642
806	3.282234372
807	3.279388558
808	3.278942004
809	3.276893772
810	3.275119475
811	3.272816949
812	3.271875092
813	3.269069001
814	3.265717353
815	3.265443863
816	3.265129003
817	3.264588253
818	3.263165793
819	3.261598467
820	3.259097178
821	3.258597796
822	3.257928349
823	3.255926766
824	3.255202341
825	3.25332367
826	3.25311002
827	3.252103352
828	3.250611772
829	3.249711887
830	3.248014211
831	3.246802038
832	3.245024183
833	3.242834252
834	3.241754528
835	3.239354335
836	3.237111343
837	3.23657341
838	3.235600981
839	3.233059352
840	3.231324616
841	3.229094497
842	3.225893614
843	3.224261457
844	3.222139332
845	3.219652399
846	3.217420855
847	3.217050215
848	3.215720212
849	3.214851279
850	3.213513416
851	3.211852401
852	3.210266474
853	3.208340208
854	3.207497498
855	3.207297657
856	3.207075744
857	3.206430345
858	3.204304524
859	3.2029198
860	3.202429826
861	3.199367237
862	3.197187803
863	3.195910685
864	3.193883503
865	3.192551633
866	3.191187515
867	3.18912075
868	3.187279521
869	3.185304155
870	3.185117336
871	3.182526995
872	3.182209829
873	3.179827461
874	3.176793724
875	3.175109641
876	3.173533615
877	3.171719254
878	3.171334388
879	3.170163737
880	3.169795798
881	3.166671488
882	3.164500205
883	3.162056877
884	3.161109991
885	3.160880771
886	3.159387636
887	3.158112211
888	3.156251592
889	3.15494581
890	3.153661241
891	3.152110898
892	3.149811881
893	3.147964235
894	3.14605505
895	3.143811294
896	3.143056746
897	3.141590743
898	3.138990634
899	3.138680281
900	3.136550663
901	3.135190299
902	3.132597356
903	3.131835869
904	3.13053435
905	3.130217719
906	3.129350158
907	3.128286262
908	3.127146205
909	3.126728252
910	3.12436649
911	3.123020181
912	3.120857931
913	3.119654918
914	3.119352045
915	3.117851248
916	3.116124336
917	3.114889547
918	3.112871526
919	3.11183025
920	3.111254468
921	3.110840086
922	3.110107722
923	3.108885936
924	3.106177915
925	3.103203352
926	3.102196282
927	3.100329337
928	3.098729728
929	3.097897745
930	3.096213101
931	3.094822055
932	3.093911772
933	3.09187929
934	3.089418424
935	3.088480073
936	3.085925341
937	3.084642326
938	3.082900693
939	3.081264095
940	3.080285419
941	3.078599553
942	3.076097329
943	3.075176779
944	3.074525042
945	3.073963473
946	3.072244435
947	3.070226372
948	3.06902605
949	3.066849304
950	3.066131298
951	3.065547275
952	3.06536072
953	3.064269755
954	3.060952758
955	3.060235497
956	3.059272406
957	3.057688239
958	3.056665387
959	3.055603394
960	3.05419499
961	3.053985211
962	3.053834856
963	3.052587597
964	3.051990066
965	3.051619743
966	3.050173571
967	3.048839881
968	3.048352275
969	3.046969766
970	3.045603367
971	3.043205332
972	3.040829817
973	3.03853049
974	3.037974421
975	3.036569687
976	3.035086337
977	3.033534748
978	3.032487414
979	3.031168502
980	3.029806613
981	3.027756902
982	3.025142579
983	3.022400925
984	3.020529753
985	3.020356981
986	3.019558431
987	3.018982751
988	3.018606265
989	3.016801382
990	3.014977691
991	3.012930181
992	3.012135424
993	3.011193896
994	3.009443228
995	3.008031429
996	3.005435333
997	3.004596161
998	3.002553509
999	3.000465364
